DAT|DATA
28.6|Ladislav
29.6|Lubomír
30.6|Petr a Pavel
31.6|Šárka
1.7|Jaroslava
2.7|Patricie
3.7|Radomír
4.7|Prokop
5.7|Státní sv.7|
6.7|Státní sv.7|
7.7|Bohuslava
8.7|Nora		
9.7|Drahoslava	
10.7|Libuše, Amálie
11.7|Olga
12.7|Bořek
13.7|Markéta
14.7|Karolína
15.7|Jindřich
16.7|Luboš	
17.7|Martina	
18.7|Drahomíra
19.7|Čeněk
20.7|Ilja
21.7|Vítězslav
22.7|Magdaléna
23.7|Libor
24.7|Kristýna
25.7|Jakub
26.7|Anna
27.7|Věroslav
28.7|Viktor
29.7|Marta
30.7|Bořivoj
31.7|Ignác
1.8|Oskar
2.8|Gustav
3.8|Miluše
4.8|Dominik
5.8|Kristián
6.8|Oldřiška
7.8|Lada
8.8|Soběslav
9.8|Roman
10.8|Vavřinec
11.8|Zuzana
12.8|Klára
13.8|Alena
14.8|Alan
15.8|Hana
16.8|Jáchym
17.8|Petra
18.8|Helena
19.8|Ludvík
20.8|Bernard
21.8|Johana
22.8|Bohuslav
23.8|Sandra
24.8|Bartoloměj
25.8|Radim
26.8|Luděk
27.8|Otakar
28.8|Augustýn
29.8|Evelína
30.8|Vladěna
31.8|Pavlína
1.9|Linda,Samuel
2.9|Adéla
3.9|Bronislav
4.9|Jindřiška
5.9|Boris
6.9|Boleslav
7.9|Regina
8.9|Mariana
9.9|Daniela
10.9|Irma
11.9|Denisa
12.9|Marie
13.9|Lubor
14.9|Radka
15.9|Jolana
16.9|Ludmila
17.9|Naděžda
18.9|Kryštof
19.9|Zita
20.9|Oleg
21.9|Matouš
22.9|Darina	
23.9|Berta
24.9|Jaromír
25.9|Zlata
26.9|Andrea
27.9|Jonáš
28.9|Václav, st.sv. 
29.9|Michal
30.9|Jeroným
1.10|Igor
2.10|Olívie, Oliver
3.10|Bohumil
4.10|František
5.10|Eliška
6.10|Hanuš
7.10|Justýna
8.10|Věra
9.10|Štefan,Sára
10.10|Marina
11.10|Andrej
12.10|Marcel
13.10|Renáta
14.10|Agáta
15.10|Tereza
16.10|Havel
17.10|Hedvika
18.10|Lukáš
19.10|Michaela
20.10|Vendelín
21.10|Brigita
22.10|Sabina
23.10|Teodor
24.10|Nina
25.10|Beáta
26.10|Stát.svátek
27.10|Erik
28.10|Šarlota,Zoe
29.10|Silvie
30.10|Tadeáš
31.10|Štěpánka
1.11|Felix
2.11|Dušičky
3.11|Hubert
4.11|Karel
5.11|Miriam
6.11|Liběna
7.11|Saskie
8.11|Bohumír
9.11|Bohdan
10.11|Evžen
11.11|Martin
12.11|Benedikt
13.11|Tibor
14.11|Sáva
15.11|Leopold st.svt
16.11|Otmar
17.11|Mahulena
18.11|Romana
19.11|Alžběta
20.11|Nikola
21.11|Albert
22.11|Cecílie
23.11|Klement
24.11|Emílie
25.11|Kateřina
26.11|Artur
27.11|Xenie
28.11|René
29.11|Zina
30.11|Ondřej
1.12|Iva
2.12|Blanka
3.12|Svatoslav
4.12|Barbora
5.12|Jitka
6.12|Mikuláš
7.12|Ambrož
8.12|Květoslava
9.12|Vratislav
10.12|Julie
11.12|Dana
12.12|Simona
13.12|Lucie
14.12|Lýdie
15.12|Radana
16.12|Albína
17.12|Daniel
18.12|Miloslav
19.12|Ester
20.12|Dagmar
21.12|Natálie
22.12|Šimon
23.12|Vlasta
24.12|Adam,Eva
25.12|Svát.vánoční
26.12|Štěpán
27.12|Žaneta
28.12|Bohumila
29.12|Judita
30.12|David
31.12|Silvestr
